City Summary URL,City,Restaurant Name,Address,Price Point,Food Type(Cusine),Restaurant URL,Hours of Operation
https://www.foodora.com.au,Melbourne,Hungry Nights,"281 Bridge Road, Richmond,3121,Melbourne",$$,"Alcohol,Curry,Meat,Vegetarian,Indian",https://www.foodora.com.au/restaurant/a7mj/hungry-nights-vendor," Mon - Fri 11:00 am - 3:00 pm , Sat, Sun 10:00 am - 3:00 pm "
https://www.foodora.com.au,Melbourne,Jack's House,"1398 High Street, Malvern,3144,Melbourne",$$,"Pasta,Bakery & Cafe,Salad,Breakfast",https://www.foodora.com.au/restaurant/a3us/jack-s-house," Mon - Fri 11:00 am - 3:30 pm , Sat, Sun 10:00 am - 3:30 pm "
https://www.foodora.com.au,Melbourne,Just Italy,"53 Atherton Rd, Oakleigh,3166,Melbourne",$$,"Italian,European,Pasta",https://www.foodora.com.au/restaurant/a1ki/just-italy," Mon - Thu 11:00 am - 3:00 pm, 5:00 pm - 6:30 pm , Fri 11:00 am - 3:00 pm, 5:00 pm - 9:30 pm , Sat, Sun 10:00 am - 3:30 pm "
https://www.foodora.com.au,Melbourne,Long Story Short,"40 Crockford Street, Port Melbourne,3207,Melbourne",$$,"Meat,Cafe,Burgers",https://www.foodora.com.au/restaurant/a0gd/long-story-short," Mon - Fri 11:00 am - 3:00 pm , Sat, Sun 10:00 am - 3:00 pm "
https://www.foodora.com.au,Melbourne,Love Pollo Victoria Gardens,"Shop 20 / 620 Victoria Street, Richmond,3121,Melbourne",$$,"Australian,Mexican,American,Sandwiches,Burgers",https://www.foodora.com.au/restaurant/a2az/love-pollo-victoria-gardens," Mon - Fri 11:00 am - 5:00 pm, 5:00 pm - 8:30 pm , Sat, Sun 10:00 am - 8:30 pm "
https://www.foodora.com.au,Melbourne,MJR TOM,"108 Smith St, Collingwood,3068,Melbourne",$$,"Mexican,Soup,Asian,Salad,Share",https://www.foodora.com.au/restaurant/a2gv/mjr-tom," Mon - Fri 11:30 am - 10:00 pm , Sat, Sun 10:00 am - 10:00 pm "
https://www.foodora.com.au,Melbourne,Maxy's Restaurant,"306 Glen Huntly Road, Elsternwick,3185,Melbourne",$$$,"Italian,Pasta,Salad,Meat",https://www.foodora.com.au/restaurant/a7iq/maxy-s-restaurant," Mon - Fri 11:00 am - 10:00 pm , Sat, Sun 10:00 am - 10:00 pm "
https://www.foodora.com.au,Melbourne,Mio Locale,"465 Brunswick Street, Fitzroy North,3068,Melbourne",$$,"Healthy Food,Cafe,Breakfast",https://www.foodora.com.au/restaurant/a5mx/mio-locale," Tue - Fri 11:00 am - 4:00 pm , Sat, Sun 10:00 am - 4:00 pm "
https://www.foodora.com.au,Melbourne,Mister Truong's,"62 Chapel Street, Prahran,3181,Melbourne",$,"Rice,Asian,Vietnamese,Soup",https://www.foodora.com.au/restaurant/a3ls/mister-truong-s," Mon - Wed 11:00 am - 8:30 pm , Thu, Fri 11:00 am - 10:00 pm , Sat 10:00 am - 10:00 pm , Sun 10:00 am - 3:00 pm "
https://www.foodora.com.au,Melbourne,Mr Bond,"2 Bond Street, South Yarra,3141,Melbourne",$$,"Italian,Sandwiches,Breakfast",https://www.foodora.com.au/restaurant/a8yo/mr-bond," Mon - Fri 11:00 am - 3:30 pm , Sat, Sun 10:00 am - 4:00 pm "
https://www.foodora.com.au,Melbourne,Oneyada Thai Cafe,"239 Victoria Street, Abbotsford,3067,Melbourne",$,"Soup,Meat,Noodles,Thai,Breakfast",https://www.foodora.com.au/restaurant/a1bu/one-yada," Mon - Fri 11:00 am - 4:00 pm , Sat, Sun 10:00 am - 4:00 pm "
https://www.foodora.com.au,Melbourne,PersianGrill,"36 Elizabeth Street, CBD,3000,Melbourne",$$,"Halal,Kebab,Meat,Chicken,Middle Eastern",https://www.foodora.com.au/restaurant/a3ti/persiangrill," Mon - Fri 11:00 am - 10:00 pm , Sat, Sun 10:00 am - 10:00 pm "
https://www.foodora.com.au,Melbourne,Proof is in the Pudding,"31 Chambers Street, South Yarra,3141,Melbourne",$,"Sweet-tooth,Share,Bakery & Cafe,Breakfast",https://www.foodora.com.au/restaurant/a8cc/proof-is-in-the-pudding," Mon - Fri 11:00 am - 5:30 pm , Sat, Sun 10:00 am - 5:30 pm "
https://www.foodora.com.au,Melbourne,Runaway Cupcakes,"255 Glenferrie Road, Malvern,3144,Melbourne",$,"Sweet-tooth,Bakery & Cafe,Dessert",https://www.foodora.com.au/restaurant/a8al/runaway-cupcakes," Mon - Fri 11:00 am - 8:00 pm , Sat 10:00 am - 8:00 pm , Sun 10:00 am - 3:00 pm "
https://www.foodora.com.au,Melbourne,Schmucks Bagels,"LB05, Guests Lane, Rear ‘The William’, 199 William St, Melbourne,3000,Melbourne",$,"Bakery & Cafe,Breakfast,Sandwiches",https://www.foodora.com.au/restaurant/a8gv/schmucks-bagels," Mon - Fri 11:00 am - 3:00 pm , Sat, Sun 10:00 am - 2:30 pm "
https://www.foodora.com.au,Melbourne,Spice Av,"381 Bay St, Port Melbourne,3207,Melbourne",$$,"Rice,Soup,Malaysian,Noodles,Street Food",https://www.foodora.com.au/restaurant/a2ae/spice-av," Mon - Fri 11:00 am - 9:30 pm , Sat, Sun 10:00 am - 9:30 pm "
https://www.foodora.com.au,Melbourne,St Kilda Grocery Bar,"135 Fitzroy Street, St Kilda,3182,Melbourne",$$,"American,Breakfast,Burgers",https://www.foodora.com.au/restaurant/a1eq/st-kilda-grocery-bar," Mon - Fri 11:00 am - 5:30 pm , Sat, Sun 10:00 am - 5:30 pm "
